"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,-14.4296,-13.778,-7.93601,-8.64626,-18.9593,-18.5412,-13.3721,-13.4473,-14.4296,-7.93601
0,-26.0818,-29.5441,-16.8159,-19.8712,-25.4477,-25.0254,-11.6642,-12.2024,-25.4477,-11.6642
0,-18.7888,-19.6732,-16.217,-17.475,-21.3245,-21.8194,-10.1408,-9.81199,-18.7888,-10.1408
0,-11.9772,-13.2139,-6.99271,-9.77657,-17.1217,-16.6046,-18.1609,-17.5322,-11.9772,-6.99271
0,14.7831,15.7143,-17.2407,-16.7905,-26.682,-25.6263,-12.3434,-10.2508,14.7831,-12.3434
0,4.74477,0.148531,5.13512,3.60169,-22.4537,-20.0622,-10.7514,-10.4023,4.74477,5.13512
0,-22.1227,-22.0687,-14.6882,-14.4817,-18.6593,-18.4054,-14.9516,-14.7662,-18.6593,-14.6882
0,-24.3819,-26.1784,-18.3275,-13.233,-25.0356,-19.1778,-15.6436,-10.4951,-24.3819,-15.6436
0,-26.8392,-26.9963,-11.8883,-9.29871,-25.5146,-23.2811,-19.6138,-16.8017,-25.5146,-11.8883
0,-19.5249,-20.5661,-13.855,-11.9027,-18.7875,-18.3461,-14.7203,-14.3725,-18.7875,-13.855
0,-3.92034,-20.4824,-9.8552,-8.17956,-12.9008,-16.8022,-5.99487,-7.1502,-3.92034,-5.99487
0,-23.8476,-21.3619,-17.0276,-16.0417,-20.5288,-19.6669,-9.27671,-7.01119,-20.5288,-9.27671
0,-14.4427,-12.663,0.584426,2.00916,-22.415,-20.8022,-12.8424,-11.5317,-14.4427,0.584426
0,-23.2353,-23.5834,-17.2834,-18.5552,-18.1544,-20.2011,-8.31596,-8.86264,-18.1544,-8.31596
0,12.4098,5.3211,22.567,19.7658,-14.6372,-21.6547,-9.94165,-11.8056,12.4098,22.567
0,-14.274,-8.71817,-14.8133,-11.9172,-19.6683,-23.956,-10.7493,-11.141,-14.274,-10.7493
0,-16.9825,-16.9058,-17.4633,-16.167,-22.1645,-22.6352,-14.4383,-13.1791,-16.9825,-14.4383
0,-5.1306,-6.42054,36.8023,33.5342,-19.5531,-13.8952,-10.6935,-8.11885,-5.1306,36.8023
0,-27.8253,-25.3553,-17.0895,-13.4344,-21.8791,-18.8422,-16.8223,-12.7707,-21.8791,-16.8223
0,-15.0212,-17.3045,-19.999,-16.6555,-22.2129,-20.0478,-12.3743,-9.44984,-15.0212,-12.3743
0,-22.0272,-22.7261,-20.5687,-20.6847,-17.6592,-19.0644,-9.97183,-11.4001,-17.6592,-9.97183
0,-15.9401,-14.2645,-16.1804,-15.9168,-21.5119,-20.2605,-12.9388,-11.4965,-15.9401,-12.9388
0,-15.5957,-16.3883,-10.3774,-10.9728,-12.815,-15.3541,-11.9394,-11.961,-12.815,-10.3774
0,-30.8713,-32.6733,-10.5129,-11.0233,-20.6395,-21.1601,-14.2481,-8.36057,-20.6395,-10.5129
0,1.42085,-5.98969,-10.0424,-14.0624,-28.6409,-33.4229,-13.2728,-16.4848,1.42085,-10.0424
0,-26.4428,-28.2853,-16.1655,-18.0368,-20.3508,-20.6848,-10.4818,-11.2486,-20.3508,-10.4818
0,-16.5394,-18.7875,-3.47214,-8.52104,-14.3989,-18.6437,-9.03022,-9.33387,-14.3989,-3.47214
0,25.4699,23.4861,-1.48818,-1.04294,-17.2233,-16.2963,-5.20735,-3.35806,25.4699,-1.48818
0,-11.686,-11.3779,-7.33015,-5.64907,-19.7059,-18.784,-8.04706,-6.66712,-11.686,-7.33015
0,-14.074,-14.4083,-12.7328,-12.6279,-10.6461,-10.3611,-8.22991,-7.71117,-10.6461,-8.22991
0,-8.41421,-10.0252,54.3802,53.2286,-29.8017,-25.1794,-19.4481,-14.9295,-8.41421,54.3802
0,-26.2333,-26.8142,-15.4413,-18.1839,-14.6273,-15.3718,-5.22768,-7.24343,-14.6273,-5.22768
0,-29.9358,-30.6346,1.12967,-1.77386,-14.8841,-17.458,-11.6683,-11.2621,-14.8841,1.12967
0,-13.3914,-13.5996,3.16032,-3.8536,-17.4668,-17.6246,-11.4277,-12.4734,-13.3914,3.16032
0,-16.9814,-16.8094,-13.8298,-13.6643,-18.8074,-18.1876,-12.8497,-12.1682,-16.9814,-12.8497
0,-3.28958,-6.08899,-3.39689,-5.97174,-19.8812,-15.7831,-13.5432,-11.4955,-3.28958,-3.39689
0,-24.1426,-29.6567,-13.1656,-17.4227,-15.6287,-16.0086,-8.8274,-8.91616,-15.6287,-8.8274
0,-4.49878,-4.70144,1.9164,1.93402,-12.2371,-12.2293,-8.78839,-8.78823,-4.49878,1.9164
0,-19.3562,-24.3143,-1.06049,-2.8979,-13.1653,-9.74811,-11.2836,-7.66407,-13.1653,-1.06049
0,-13.5486,-14.7528,-14.8373,-13.7307,-23.8907,-23.8133,-17.2377,-13.4773,-13.5486,-14.8373
0,-26.0614,-28.6265,-2.91057,-4.77041,-20.8721,-21.7381,-10.205,-13.0498,-20.8721,-2.91057
0,-6.71894,-5.13492,-17.9355,-16.2967,-23.6202,-22.2215,-14.4252,-12.775,-6.71894,-14.4252
0,-20.3842,-20.3491,-12.057,-8.31213,-19.3283,-15.5515,-11.9226,-8.48848,-19.3283,-11.9226
0,-19.8462,-16.4709,-11.2847,-8.3307,-15.8331,-12.9355,-14.2428,-10.8933,-15.8331,-11.2847
0,-22.2958,-22.2958,-13.3656,-13.3656,-19.9984,-19.9984,-11.9,-11.9,-19.9984,-11.9
0,-21.3397,-23.9547,-6.28004,-9.10856,-27.8655,-27.3072,-14.0755,-13.6052,-21.3397,-6.28004
0,-30.9735,-29.4455,-16.8366,-16.7958,-18.5029,-16.7383,-8.84925,-12.0028,-18.5029,-8.84925
0,2.6733,6.08269,4.03736,7.27222,0.243728,-8.11873,-8.10996,-3.5863,2.6733,4.03736
0,-22.5072,-26.1749,-9.63248,-8.4595,-24.6581,-23.2225,-16.2428,-16.6341,-22.5072,-9.63248
0,-22.151,-22.9021,-12.7464,-14.6617,-7.856,-9.92977,-11.0638,-12.0817,-7.856,-11.0638
